,148,"Eštok Peter, JUDr.",,,,0
,149,"Eštoková Mária, JUDr.",,,,0
,150,"Fabianová Diana, JUDr.",,,,0
,151,"Fabová Silvia, JUDr.",,,,0
,152,"Farkašová Jana, JUDr.",,,,0
,153,"Fečík Marián, JUDr.",,,,0
,154,"Felixová Zuzana, JUDr.",Vedúca organizačného a personálneho oddelenia,Krajská prokuratúra,Nitra,1
,155,"Feník Alexander, Mgr.",vedúci trestného oddelenia a oddelenia boja s organizovaným zločinom,Krajská prokuratúra,Žilina,1
,156,"Ferenczová Monika, JUDr.",,,,0
,157,"Fertaľ Ján, JUDr.",,,,0
,158,"Fíger Miroslav, JUDr.",Vedúci oddelenia legislatívy,Generálna prokuratúra,,1
,159,"Figľár Stanislav, JUDr. PhD.",Poverený výkonom funkcie námestníka okresnej prokurátorky,Okresná prokuratúra,Humenné,1
,160,"Figula Juraj, JUDr.",,,,0
,161,"Filičko Milan ml., JUDr.",,,,0
,162,"Filičko Milan, JUDr.",,,,0
,163,"Filičková Erika, JUDr.",,,,0
,164,"Filipčík Slavomír, JUDr.",,,,0
,165,"Filová Anita, JUDr.",,,,0
,166,"Foltánková Andrea, JUDr.",,,,0
,167,"Franta Juraj, JUDr.",,,,0
,168,"Fráterová Silvia, JUDr.",,,,0
,169,"Frištyková Hana, Mgr.",,,,0
,170,"Fulcová Eva, JUDr.",,Okresná prokuratúra,Bratislava I,1
,171,"Funková Anna, Mgr.",,,,0
,172,"Gadová Katarína, Mgr.",,,,0
,173,"Gáfrik Ján, Mgr.",,Okresná prokuratúra,Nitra,1
,174,Gajdoš Jozef,Poverený výkonom funkcie námestníka okresného prokurátora,Okresná prokuratúra,Zvolen,1
,175,"Gajdoš Marek, Mgr.",,,,0
,176,"Gáliková Renáta, Mgr.",,,,0
,177,"Galková Alexandra, Mgr.",,,,0
,178,"Gallo Peter, JUDr.",,,,0
,179,"Gallo Zoltán, JUDr.",,Okresná prokuratúra,Rožňava,1
,180,"Gallová Jana, JUDr.",Poverená výkonom funkcie vedúcej netrestného oddelenia,Krajská prokuratúra,Banská Bystrica,1
,181,"Galovič Pavol, JUDr.",,,,0
,182,"Garajová Eva, Mgr.",,,,0
,183,"Garčala Peter, JUDr.",,,,0
,184,"Gardošíková Eva, JUDr.",,,,0
,185,"Gaštanová Jela, JUDr.",Poverená výkonom funkcie námestníčky okresného prokurátora,Okresná prokuratúra,Lučenec,1
,186,"Gazdík Peter, Mgr.",,,,0
,187,"Gazdíková Katarína, Mgr.",,,,0
,188,"Gaži Viliam, JUDr.",Námesník krajského prokurátora,Krajská prokuratúra,Prešo,1
,189,"Géczi Štefan, JUDr.",Poverený výkonom okresného prokurátora,Okresná prokuratúra,Revúca,1
,190,"Gellen Adrian, JUDr.",,,,0
,191,"Gengelová Zuzana, Mgr.",,,,0
,192,"Geralský Michal, JUDr.",,,,0
,193,"Gerbery Tomáš, Mgr.",,,,0
,194,"Gernáth Branislav, JUDr.",,,,0
,195,"Gero Miloš, JUDr.",,,,0
,196,"Geško Gabriel, JUDr.",,,,0
,197,"Glevaňák Michal, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Prešov,1
,198,"Gloček Ján, JUDr.",,,,0
,199,"Godžová Blanka, JUDr.",,,,0
,200,"Gogová Zuzana, JUDr.",,,,0
,201,"Golha Peter, JUDr.",,,,0
,202,"Goliašová Zuzana, JUDr.",,,,0
,203,"Gondová Medveďová Katarína, JUDr.",,,,0
,204,"Gondžur Jozef, JUDr.",Okresný prokurátor,Okresná prokuratúra,Žilina,1
,205,"Gondžur Marcel, JUDr.",,Okresná prokuratúra,Žilina,1
,206,"Greculová Katarína, JUDr.",,,,0
,207,"Grečnerová Jana, Mgr.",,,,0
,208,"Greif Radovčičová Renáta, JUDr.",,,,0
,209,"Grenčíková Desana, JUDr.",,,,0
,210,"Grendár Peter, JUDr.",,,,0
,211,"Greško Matej, JUDr.",,Okresná prokuratúra,Bratislava IV,1
,212,"Grežová Silvia, Mgr.",,,,0
,213,"Grittersová Anna, Mgr.",,,,0
,214,"Gulbišová Judita, JUDr.",,,,0
,215,"Guľová Martina, JUDr.",,,,0
,216,"Habáň Rastislav, JUDr.",,Okresná prokuratúra,Trenčín,1
,217,"Habčáková Katarína, JUDr.",,,,0
,218,"Hadbábny Emil, JUDr.",,,,0
,219,"Hadzimová Jana, JUDr.",,,,0
,220,"Hajduček Karol, JUDr.",,,,0
,221,"Hajtman Peter, Mgr.",,,,0
,222,"Halásová Eva, JUDr.",,,,0
