ID,Meno a priezvisko,Súd 2021,Potvrdené odvolania,Vybavenosť,Dispozičný čas,Restančné z nevybavených,Produktivita,,,,,,,
57,Lucia Bašistová,Okresný súd Kežmarok,3,4,5,1,4,,,,,,,
58,Michala Bašticová,Mestský súd Bratislava V,0,0,2,7,10,,,,,,,
60,Róbert Bebčák,Okresný súd Žilina,10,N/A,N/A,N/A,N/A,,,,,,,
61,Erika Bebčáková,Okresný súd Žilina,4,N/A,N/A,N/A,N/A,,,,,,,
62,Peter Bebej,Okresný súd Dolný Kubín,9,6,6,7,2,,,,,,,
63,Iveta Bebejová,Okresný súd Dolný Kubín,6,3,5,9,1,,,,,,,
65,Eva Behranová,Okresný súd Malacky,3,N/A,N/A,N/A,N/A,,,,,,,
66,Richard Bejda,Okresný súd Banská Bystrica,6,N/A,N/A,N/A,N/A,,,,,,,
67,Anna Bejdová,Okresný súd Svidník,7,0,0,3,1,,,,,,,
68,Otília Belavá,Mestský súd Bratislava I,4,N/A,N/A,N/A,N/A,,,,,,,
71,Monika Bellová,Okresný súd Senica,0,5,5,6,4,,,,,,,
73,Eva Benčová,Okresný súd Banská Bystrica,8,N/A,N/A,N/A,N/A,,,,,,,
74,Roman Benedikovič,Mestský súd Bratislava V,1,3,7,2,6,,,,,,,
78,Mária Benková,Okresný súd Košice okolie,8,10,5,0,5,,,,,,,
79,Janka Benkovičová,Okresný súd Nitra,6,N/A,N/A,N/A,N/A,,,,,,,
82,František Berec,Okresný súd Trenčín,N/A,N/A,N/A,N/A,N/A,,,,,,,
83,Daniel Béreš,Okresný súd Žilina,9,N/A,N/A,N/A,N/A,,,,,,,
84,Eva Bérešová,Okresný súd Vranov nad Topľou,1,N/A,N/A,N/A,N/A,,,,,,,
85,Jana Berešová,Okresný súd Trebišov,5,4,8,8,6,,,,,,,
86,Daniela Bergerová,Mestský súd Bratislava V,6,4,5,7,10,,,,,,,
89,Viera Betáková,Okresný súd Nové Zámky,4,4,6,6,6,,,,,,,
90,Stanislava Bezáková,Mestský súd Bratislava I,N/A,N/A,N/A,N/A,N/A,,,,,,,
91,Zuzana Bezáková,Okresný súd Nitra,5,4,7,7,6,,,,,,,
93,Pavol Bielik,Okresný súd Prievidza,3,5,6,1,5,,,,,,,
94,Alena Bieliková,Okresný súd Trenčín,5,10,3,4,4,,,,,,,
95,Eva Bieliková,Mestský súd Bratislava II,3,7,2,4,9,,,,,,,
96,Jarmila Bíliková,Okresný súd Skalica,5,7,7,8,4,,,,,,,
97,Eva Bíróová,Okresný súd Dunajská Streda,4,5,6,5,4,,,,,,,
98,Pavol Biroš,Okresný súd Košice II,2,N/A,N/A,N/A,N/A,,,,,,,
100,Zuzana Biščáková,Okresný súd Prešov,2,10,7,2,10,,,,,,,
101,Oľga Bitalová,Okresný súd Stará Ľubovňa,4,N/A,N/A,N/A,N/A,,,,,,,
102,Beata Bizoňová,Mestský súd Bratislava I,9,9,0,2,5,,,,,,,
103,Marián Blaha,Okresný súd Banská Bystrica,9,N/A,N/A,N/A,N/A,,,,,,,
104,Mária Blahovská,Okresný súd Spišská Nová Ves,4,N/A,N/A,N/A,N/A,,,,,,,
105,Monika Blahutiaková,Mestský súd Bratislava V,6,N/A,N/A,N/A,N/A,,,,,,,
106,Alena Blašková,Okresný súd Partizánske,7,5,3,6,5,,,,,,,
108,Daniela Blažovská,Okresný súd Košice II,4,N/A,N/A,N/A,N/A,,,,,,,
109,Ivica Blecharžová,Mestský súd Bratislava V,4,5,0,1,3,,,,,,,
111,Ján Bodnár,Okresný súd Rimavská Sobota,5,N/A,N/A,N/A,N/A,,,,,,,
112,Matilda Bodnáriková,Okresný súd Michalovce,2,N/A,N/A,N/A,N/A,,,,,,,
118,Zoltán Boros,Okresný súd Rimavská Sobota,7,5,9,2,8,,,,,,,
119,Erika Borovská,Okresný súd Kežmarok,9,2,5,6,3,,,,,,,
124,Božena Brinčíková,Okresný súd Partizánske,7,7,5,4,2,,,,,,,
125,Gabriela Brišková,Okresný súd Liptovský Mikuláš,8,N/A,N/A,N/A,N/A,,,,,,,
