,ID,judge,court,year,concourt.decisions,concourt.delays,assigned.agenda.dominant,C.assigned.agenda,Cb.assigned.agenda,P.assigned.agenda,Trest.assigned.agenda,decided.agenda.dominant,workdays,incoming.10.days,E1,E1.mean,E2,E2.mean,E3,E3.mean,E4,E4.mean,E5,E5.mean,E.score.total.new,affirmed,sum.appeals,Q1,Q1.mean,Q2,Q2.mean,Q3,Q3.mean,dominant.agenda,Q.score.total.new,score.total.new,rank
406,595,JUDr. Martin Kopina,Okresný súd Vranov nad Topľou,2015,1,0,C,1302,62,2,873,C,1063,65,109.0,97.1,368,377,204,150,55.4,42.6,309,339,14.5,88,130,67.7,67.1,6.9,9.3,2.2,3.0,C,7.5,22,345.-366.
407,596,JUDr. Martin Kopšo,Mestský súd Bratislava IV,2015,2,1,Cb,0,1335,0,0,Cb,1028,65,130.5,97.1,323,377,172,150,53.3,42.6,290,339,17.5,70,132,53.0,64.9,9.0,8.8,4.2,3.0,Cb,3,20.5,417.-443.
408,736,"JUDr. Martin Lopuch, PhD.",Okresný súd Michalovce,2015,0,0,C,844,0,0,0,C,1056,8,100.0,97.1,280,377,123,150,43.9,42.6,344,339,12.5,60,104,57.7,67.1,11.8,9.3,5.0,3.0,C,4.5,17,557.-575.
409,1146,JUDr. Martin Smolko,Okresný súd Trnava,2015,0,0,Cb,24,1389,3,0,Cb,965,72,76.8,97.1,433,377,88,150,20.3,42.6,290,339,12.5,35,62,56.5,64.9,5.3,8.8,2.3,3.0,Cb,4.5,17,557.-575.
410,1186,JUDr. Martin Stretavský,Okresný súd Michalovce,2015,1,1,Trest,27,0,0,1073,Trest,1092,49,99.6,97.1,31,377,9,150,29.0,42.6,49,339,18.5,15,33,45.5,63.8,2.8,8.1,1.5,3.0,Trest,1.5,20,444.-466.
411,1495,JUDr. Martin Žovinec,Okresný súd Trnava,2015,2,0,Trest,0,0,0,1598,Trest,840,76,87.9,97.1,212,377,126,150,59.4,42.6,196,339,13,113,152,74.3,63.8,10.9,8.1,2.8,3.0,Trest,10.5,23.5,286.-303.
412,38,JUDr. Martina Balegová,Okresný súd Levice,2015,0,0,C,1446,774,0,0,C,1072,50,86.9,97.1,813,377,292,150,35.9,42.6,440,339,9,73,92,79.3,67.1,4.5,9.3,0.9,3.0,C,12,21,390.-416.
413,128,JUDr. Martina Brniaková,Okresný súd Žilina,2015,2,1,Cb,0,1744,0,0,Cb,1027,85,120.4,97.1,465,377,155,150,33.3,42.6,260,339,18.5,120,141,85.1,64.9,8.3,8.8,1.2,3.0,Cb,13.5,32,22.-30.
414,232,JUDr. Martina Dubovcová,Okresný súd Trenčín,2015,0,0,C,1147,0,0,0,C,457,25,170.5,97.1,474,377,240,150,50.6,42.6,695,339,12,60,155,38.7,67.1,15.4,9.3,9.5,3.0,C,0,12,689.-691.
415,602,JUDr. Martina Koreňová,Okresný súd Rimavská Sobota,2015,0,0,C,1905,50,141,0,C,1110,26,109.8,97.1,362,377,13,150,3.6,42.6,215,339,19,136,151,90.1,67.1,7.1,9.3,0.7,3.0,C,15,34,9.-12.
416,707,JUDr. Martina Ľachová,Okresný súd Galanta,2015,0,0,C,1859,222,0,0,C,600,42,87.4,97.1,839,377,256,150,30.5,42.6,385,339,10.5,44,69,63.8,67.1,4.5,9.3,1.6,3.0,C,7.5,18,525.-541.
417,814,JUDr. Martina Melníková,Okresný súd Vranov nad Topľou,2015,0,0,C,1054,338,163,0,C,625,49,94.0,97.1,485,377,140,150,28.9,42.6,287,339,14.5,95,124,76.6,67.1,9.5,9.3,2.2,3.0,C,10.5,25,214.-237.
418,978,JUDr. Martina Petríková,Okresný súd Levice,2015,0,0,C,1478,37,550,0,C,534,72,77.3,97.1,902,377,106,150,11.8,42.6,391,339,11,16,25,64.0,67.1,1.8,9.3,0.7,3.0,C,7.5,18.5,507.-524.
419,638,JUDr. Michaela Krajčová,Mestský súd Bratislava II ,2015,0,0,C,1703,0,0,0,C,1070,16,120.4,97.1,225,377,85,150,37.8,42.6,149,339,20,102,134,76.1,67.1,7.4,9.3,1.8,3.0,C,10.5,30.5,48.-53.
420,648,JUDr. Michaela Králová,Okresný súd Pezinok,2015,1,0,C,1324,406,0,0,C,834,35,37.3,97.1,545,377,0,150,0.0,42.6,612,339,5,96,143,67.1,67.1,13.2,9.3,4.3,3.0,C,7.5,12.5,677.-688.
421,948,JUDr. Michaela Pacherová,Mestský súd Bratislava II ,2015,3,0,C,1405,0,205,0,C,1080,23,93.7,97.1,317,377,161,150,50.8,42.6,324,339,11,112,164,68.3,67.1,10.2,9.3,3.2,3.0,C,7.5,18.5,507.-524.
422,9,JUDr. Michal Antala,Okresný súd Trenčín,2015,0,0,Trest,0,0,0,1699,Trest,1045,81,101.0,97.1,109,377,41,150,37.6,42.6,98,339,18,121,156,77.6,63.8,8.0,8.1,1.8,3.0,Trest,10.5,28.5,91.-106.
423,255,JUDr. Michal Dzurdzík,Mestský súd Bratislava II ,2015,1,1,C,1246,0,0,0,C,581,21,107.1,97.1,265,377,106,150,40.0,42.6,195,339,17.5,35,50,70.0,67.1,4.6,9.3,1.4,3.0,C,9,26.5,153.-167.
424,281,JUDr. Michal Fiala,Okresný súd Trenčín,2015,0,0,Trest,0,32,0,740,Trest,1086,36,93.4,97.1,195,377,83,150,42.6,42.6,238,339,13.5,37,47,78.7,63.8,6.3,8.1,1.3,3.0,Trest,10.5,24,262.-285.
425,2421,JUDr. Michal Kubiš,Mestský súd Bratislava IV,2015,0,0,C,1055,0,0,0,C,475,22,66.1,97.1,498,377,101,150,20.3,42.6,428,339,7.5,55,73,75.3,67.1,7.8,9.3,1.9,3.0,C,10.5,18,525.-541.
426,2539,JUDr. Michal Mravec,Okresný súd Čadca,2015,1,1,0,483,54,91,341,0,355,41,83.3,97.1,361,377,82,150,22.7,42.6,216,339,14,31,45,68.9,66.3,6.0,8.8,1.9,2.9,0,9,23,304.-323.
