,id,judge,court,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
243,870,Mgr. Slavomíra Mlynarčíková,Okresný súd Liptovský Mikuláš,4,7,7,6
244,305,JUDr. Andrea Gabrielová,Okresný súd Lučenec,6,5,7,5
245,3339,JUDr. Anna Irikovská,Okresný súd Považská Bystrica,3,8,7,6
246,778,JUDr. Bc. Viktor Marko,Okresný súd Zvolen,4,5,9,5
247,124,JUDr. Božena Brinčíková,Okresný súd Partizánske,5,3,6,7
248,108,JUDr. Daniela Blažovská,Okresný súd Košice II,4,5,9,5
249,168,JUDr. Eva Cvengová,Okresný súd Banská Bystrica,1,9,7,7
250,291,JUDr. Eva Foltánová,Okresný súd Galanta,10,3,7,3
251,1344,JUDr. Eva Triznová,Okresný súd Lučenec,5,7,7,5
252,1269,JUDr. Gabriel Štefanič,Okresný súd Michalovce,5,6,6,6
253,955,JUDr. Gabriela Panáková,Okresný súd Žilina,4,6,7,6
254,1257,JUDr. Ján Šmrhola,Okresný súd Levice,3,7,9,5
255,353,JUDr. Jana Grendárová,Okresný súd Bratislava IV,4,8,9,4
256,1491,JUDr. Laura Žideková,Okresný súd Čadca,7,4,5,6
257,370,JUDr. Lenka Halmešová,Okresný súd Nitra,9,4,0,8
258,932,JUDr. Mária Ondrejová,Okresný súd Nitra,3,4,9,6
259,421,JUDr. Marianna Hosťovecká,Okresný súd Galanta,10,3,7,3
260,2552,JUDr. Michaela Kotusová Hucová,Okresný súd Košice II,10,3,7,3
261,3070,JUDr. Natália Štrkolcová,Okresný súd Košice okolie,5,6,6,6
262,1356,JUDr. Noema Turanovičová,Okresný súd Prievidza,3,6,8,6
263,986,JUDr. Peter Philadelphy,Okresný súd Banská Bystrica,3,8,10,4
264,317,JUDr. Silvia Gandelová,Okresný súd Bratislava III,9,2,4,6
265,626,JUDr. Viera Kováčová,Okresný súd Levice,7,5,6,5
266,1198,JUDr. Vincent Svoboda,Okresný súd Michalovce,5,7,7,5
267,2054,Mgr. Peter Revický,Okresný súd Prešov,10,0,1,8
268,2577,Mgr. Zuzana Gašpirová,Okresný súd Bratislava II ,6,5,4,7
269,1083,JUDr. Alena Roštárová,Okresný súd Bratislava II ,6,4,4,7
270,758,JUDr. Anna Majeriková,Okresný súd Žilina,5,4,5,7
271,86,JUDr. Daniela Bergerová,Okresný súd Bratislava V,6,4,4,7
272,525,JUDr. Erik Kačmár,Okresný súd Trenčín,6,3,6,6
