,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
252,JUDr. Jana Veselá,6,8,7,6
253,JUDr. Janka Borošková,1,8,7,5
254,JUDr. Janka Butašová,5,1,0,5
255,JUDr. Janka Majerčíková,3,7,8,5
256,JUDr. Janka Mičková,4,7,5,2
257,JUDr. Janka Pravotiaková,8,8,7,2
258,JUDr. Janka Túryová,5,4,6,3
259,JUDr. Jarmila Centková,7,6,6,5
260,JUDr. Jarmila Dušáková,9,2,4,7
261,JUDr. Jarmila Jánošová,4,7,6,7
262,JUDr. Jarmila Kasanová,3,7,5,7
263,JUDr. Jarmila Schromová,6,8,7,8
264,JUDr. Jaroslav Ivan,6,2,3,8
265,JUDr. Jaroslav Kanderka,4,5,3,6
266,JUDr. Jeannette Hajdinová,7,3,1,8
267,JUDr. Jozef Engel,3,6,6,2
268,JUDr. Jozef Kurian,6,2,10,5
269,JUDr. Jozef Medveď,8,5,9,5
270,JUDr. Jozef Mikluš,5,4,8,6
271,JUDr. Jozef Pribula,6,6,5,6
272,JUDr. Jozef Turza,0,10,6,8
273,JUDr. Jozefína Králová,4,7,8,4
274,JUDr. Judita Dubjelová,10,0,0,5
275,JUDr. Judita Knociková,9,0,0,3
276,JUDr. Júlia Henteková,2,6,1,6
277,JUDr. Júlia Weiserová,4,3,7,2
278,JUDr. Július Tóth,7,7,5,3
279,JUDr. Juraj Lehotský,7,6,6,2
280,JUDr. Juraj Mihál,10,0,0,0
281,JUDr. Juraj Szököl,6,6,7,6
282,JUDr. Juraj Šteffel,10,4,8,3
283,JUDr. Juraj Valášek,7,8,9,10
284,JUDr. Juraj Vallo,5,7,6,10
285,JUDr. Kamila Haverlová,0,6,0,4
286,JUDr. Karol Krochta,0,10,7,4
287,JUDr. Karol Posluch,5,2,6,4
288,JUDr. Karol Posluch,0,10,3,4
289,JUDr. Karol Rihák,0,5,0,9
290,JUDr. Katarína Bartalská,4,3,5,4
291,JUDr. Katarína Batisová,0,3,7,9
292,JUDr. Katarína Červenková,10,0,10,10
293,JUDr. Katarína Fakanová,6,6,7,4
294,JUDr. Katarína Holečková,4,7,6,4
295,JUDr. Katarína Janečková,10,3,4,4
296,JUDr. Katarína Jusková,3,8,5,2
297,JUDr. Katarína Krivulčíková,5,8,8,6
298,JUDr. Katarína Ondrejáková,0,7,0,2
299,JUDr. Katarína Podhorcová,7,5,5,4
300,JUDr. Katarína Rusňáková,6,9,6,5
301,JUDr. Katarína Stanislavská,8,4,4,8
302,JUDr. Katarína Šťastná,6,7,6,6
303,JUDr. Katarína Vachulíková,7,10,8,3
304,JUDr. Katarína Vorobelová,4,7,6,7
305,JUDr. Katarína Zajacová,5,6,5,8
306,JUDr. Klaudia Šišková,6,5,8,10
307,JUDr. Klaudia Talašová,6,7,7,8
308,JUDr. Kristina Glezgová,3,10,7,4
309,JUDr. Ladislav Bujňák,4,3,9,3
310,JUDr. Ladislav Bujňák,6,6,9,3
311,JUDr. Ladislav Gábor,6,4,4,3
312,JUDr. Ladislav Lóška,5,10,9,4
313,JUDr. Ladislav Piros,10,1,10,1
314,JUDr. Ladislav Vašut,5,4,8,6
315,JUDr. Laura Žideková,7,3,4,6
316,JUDr. Lea Švrčeková,5,4,6,4
317,JUDr. Lenka Halmešová,4,8,6,8
318,JUDr. Lenka Kováčová,9,10,7,4
319,JUDr. Lenka Pavlovičová,3,8,5,7
320,JUDr. Libuša Záthurecká,7,5,7,5
321,JUDr. Ľubica Adamčíková,7,6,7,1
322,JUDr. Ľubica Balalová,5,2,2,6
323,JUDr. Ľubica Bundzelová,5,6,6,4
324,JUDr. Ľubica Cambelová,1,6,0,8
325,JUDr. Ľubica Farkašová,7,5,8,5
326,JUDr. Ľubica Chmelanová,6,5,6,8
327,JUDr. Ľubica Nemcová,5,9,6,2
328,JUDr. Ľubica Novotná,7,3,5,5
329,JUDr. Ľubomír Hudák,4,6,6,4
330,JUDr. Ľubomír Šabla,3,8,6,10
331,JUDr. Ľubomíra Krchníková,0,6,6,5
332,JUDr. Ľubomíra Krišťáková,4,3,1,5
